dam,n_yrs,unbounded_seasonality,bounded_seasonality,env_col,colwell_c,colwell_m,colwell_p
pre,53,0.28215249342683946,0.22006157214008434,1.3151430058050244,0.43575246784132493,0.16206133366270875,0.5978138015040337
post,83,0.09265845585446197,0.08480093240298296,1.5282717131716659,0.4996598534338066,0.11329394796152488,0.6129538013953315
