dam,n_yrs,unbounded_seasonality,bounded_seasonality,env_col,colwell_c,colwell_m,colwell_p
pre,27,0.09794803701003743,0.08921008436498712,0.9303589132670202,0.62664067343729,0.13338505683948468,0.7600257302767747
post,70,0.06591379040295095,0.06183782496897177,2.197520248915655,0.836012700683266,0.03558648309499144,0.8715991837782575
